연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,출생연도,투구유형,타격유형,포지션
2024,31,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4,45,0,4,89,9,0.436,0.363,0.799,33,0.295,0.0,36,100,108,0.93,3,0.51,3.92,0.145,64.8,0.272,8,144,66,76,2,0.465,21.0,1997.0,우투,우타,외야수
2024,34,서호철,NC,0.285,141,567,512,68,146,19,3,10,201,61,6,3,30,0,16,101,15,0.393,0.342,0.735,38,0.243,0.0,32,141,127,1.11,4,0.3,3.78,0.107,65.1,0.252,9,144,61,81,2,0.43,26.0,1996.0,우투,우타,내야수
2024,33,이우성,KIA,0.288,112,449,399,56,115,16,1,9,160,54,0,3,44,0,3,89,17,0.401,0.361,0.762,27,0.266,1.0,26,108,90,1.2,7,0.49,4.0,0.113,55.5,0.263,1,144,87,55,2,0.613,0.0,1994.0,우투,우타,외야수
2024,32,강백호,KT,0.289,144,614,550,92,159,27,0,26,264,96,0,2,59,4,3,127,6,0.48,0.36,0.84,43,0.28,0.25,53,139,127,1.09,9,0.46,4.0,0.191,93.4,0.282,5,144,72,70,2,0.507,15.0,1999.0,우투,좌타,내야수
2024,30,최정,SSG,0.291,129,550,468,93,136,27,2,37,278,107,0,7,55,1,20,114,10,0.594,0.384,0.978,39,0.284,0.0,66,75,150,0.5,14,0.48,3.84,0.303,103.9,0.321,6,144,72,70,2,0.507,15.0,1987.0,우투,우타,내야수
2024,40,배정대,KT,0.275,113,473,404,49,111,25,1,7,159,59,8,7,50,1,4,114,5,0.394,0.355,0.749,30,0.302,1.0,33,86,100,0.86,3,0.44,4.0,0.119,59.5,0.258,5,144,72,70,2,0.507,15.0,1995.0,우투,우타,외야수
2024,35,정수빈,두산,0.284,136,608,510,95,145,21,3,4,184,47,10,8,71,1,9,72,8,0.361,0.376,0.737,42,0.248,0.0,28,160,141,1.13,4,0.99,4.1,0.076,81.8,0.259,4,144,74,68,2,0.521,13.0,1990.0,좌투,좌타,외야수
2024,41,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2,63,5,2,129,6,0.486,0.364,0.85,34,0.308,0.286,48,103,100,1.03,7,0.49,3.96,0.211,79.4,0.285,8,144,66,76,2,0.465,21.0,1998.0,우투,양타,외야수
2024,52,최주환,키움,0.257,130,544,482,49,124,23,1,13,188,84,0,9,47,2,6,92,12,0.39,0.325,0.715,36,0.308,0.0,37,108,167,0.65,7,0.51,4.08,0.133,63.3,0.244,10,144,58,86,0,0.403,30.0,1988.0,우투,좌타,내야수
2024,43,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4,60,9,11,129,10,0.454,0.356,0.81,35,0.314,0.0,46,114,144,0.79,6,0.47,3.99,0.183,86.2,0.274,8,144,66,76,2,0.465,21.0,2000.0,우투,우타,내야수
