선수명,포지션,투구유형,타격유형,출생연도
김동엽,내야수,우투,우타,1990
박석민,내야수,우투,우타,1985
이명기,외야수,좌투,좌타,1987
김하성,내야수,우투,우타,1995
나지완,외야수,우투,우타,1985
김재호,내야수,우투,우타,1985
로맥,내야수,우투,우타,1985
라모스,내야수,우투,좌타,1994
유민상,내야수,우투,좌타,1989
고종욱,외야수,우투,좌타,1989
유한준,외야수,우투,우타,1981
이천웅,외야수,좌투,좌타,1988
김태균,내야수,우투,우타,1982
샌즈,외야수,우투,우타,1987
김헌곤,외야수,우투,우타,1988
러프,내야수,우투,우타,1986
이형종,외야수,우투,우타,1989
호잉,외야수,우투,좌타,1989
박세혁,내야수,우투,좌타,1990
김강민,외야수,우투,우타,1982
이창진,외야수,우투,우타,1991
이재원,내야수,우투,우타,1988
송광민,내야수,우투,우타,1983
이성열,외야수,우투,좌타,1984
박경수,내야수,우투,우타,1984
김성현,내야수,우투,우타,1987
오선진,내야수,우투,우타,1989
김주찬,외야수,우투,우타,1981
민병헌,외야수,우투,우타,1987
오재원,내야수,우투,좌타,1985
노수광,외야수,우투,좌타,1990
버나디나,외야수,좌투,좌타,1984
박용택,외야수,우투,좌타,1979
신본기,내야수,우투,우타,1989
임병욱,외야수,우투,좌타,1995
김민성,내야수,우투,우타,1988
윤석민,내야수,우투,우타,1985
번즈,내야수,우투,우타,1990
스크럭스,내야수,우투,우타,1987
