연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2021,40,최지훈,SSG,0.262,136,534,461,75,121,19,6,5,167,45,8,6,40,최지훈,SSG,0.262,51,0,8,71,6,0.362,0.342,0.704,30,0.255,0.333,40,최지훈,SSG,0.262,30,111,164,0.68,3,0.72,3.82,0.1,64.6,0.244
2021,41,배정대,KT,0.259,144,595,510,85,132,23,1,12,193,68,3,5,41,배정대,KT,0.259,65,2,12,132,9,0.378,0.353,0.731,35,0.22,0,41,배정대,KT,0.259,36,121,130,0.93,7,0.49,4.02,0.12,73.6,0.253
2021,42,최주환,SSG,0.256,116,470,406,50,104,16,0,18,174,67,0,2,42,최주환,SSG,0.256,53,4,9,84,7,0.429,0.353,0.782,29,0.284,0.167,42,최주환,SSG,0.256,34,77,143,0.54,5,0.63,4.39,0.172,63.5,0.266
2021,43,오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,4,5,43,오지환,LG,0.254,54,0,5,82,11,0.356,0.335,0.691,30,0.248,0.25,43,오지환,LG,0.254,29,142,127,1.12,8,0.66,3.86,0.101,58.2,0.24
2021,44,서건창,LG,0.253,144,600,513,78,130,24,2,6,176,52,5,4,44,서건창,LG,0.253,69,2,9,78,14,0.343,0.35,0.693,32,0.24,0.286,44,서건창,LG,0.253,32,154,155,0.99,4,0.88,3.93,0.09,65.6,0.243
2021,45,박동원,키움,0.249,131,481,413,61,103,21,0,22,190,83,5,3,45,박동원,키움,0.249,53,0,7,114,12,0.46,0.342,0.802,26,0.277,0.2,45,박동원,키움,0.249,43,105,94,1.12,11,0.46,4.06,0.211,65.6,0.269
2021,46,강진성,NC,0.249,124,462,406,49,101,20,0,7,142,38,4,2,46,강진성,NC,0.249,36,2,14,68,12,0.35,0.33,0.68,25,0.227,0.2,46,강진성,NC,0.249,27,114,125,0.91,5,0.53,3.74,0.101,47.4,0.236
2021,47,박찬호,KIA,0.246,131,483,418,51,103,15,5,1,131,59,8,3,47,박찬호,KIA,0.246,54,0,0,73,11,0.313,0.331,0.644,22,0.291,1,47,박찬호,KIA,0.246,21,147,98,1.5,7,0.74,4.1,0.067,45.6,0.227
2021,48,터커,KIA,0.237,127,539,468,42,111,24,1,9,164,59,0,2,48,터커,KIA,0.237,61,1,8,66,12,0.35,0.334,0.684,24,0.266,0,48,터커,KIA,0.237,34,121,172,0.7,4,0.92,3.76,0.113,56.8,0.238
2021,49,조용호,KT,0.236,138,515,428,71,101,14,1,0,117,48,5,5,49,조용호,KT,0.236,74,0,3,85,8,0.273,0.349,0.622,27,0.33,0.143,49,조용호,KT,0.236,15,145,102,1.42,5,0.87,4.3,0.037,48.6,0.225
