연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,팀순위,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차,포지션,투구유형,타격유형,출생연도
2019,24,최정,SK,0.292,141,606,503,86,147,27,0,29,261,99,0,8,69,6,26,92,4,0.519,0.399,0.918,40,0.333,0,56,82,190,0.43,14,0.75,3.85,0.227,107.1,0.309,,,,,,,,,,,
2019,25,김선빈,KIA,0.292,121,447,394,55,115,22,0,3,146,40,5,4,43,0,1,26,7,0.371,0.36,0.731,32,0.297,0.5,25,136,121,1.12,4,1.65,3.7,0.079,53.5,0.255,,,,,,,,,,,
2019,26,최재훈,한화,0.29,135,451,373,47,108,18,0,3,135,31,4,4,56,0,14,61,9,0.362,0.398,0.76,28,0.225,0,21,110,98,1.12,2,0.92,4.07,0.072,55.9,0.27,,,,,,,,,,,
2019,27,허경민,두산,0.288,133,540,475,71,137,25,1,4,176,60,3,11,34,2,17,36,16,0.371,0.35,0.721,37,0.324,1,30,148,165,0.9,9,0.94,3.5,0.082,63.4,0.25,,,,,,,,,,,
2019,28,이형종,LG,0.286,120,482,419,56,120,24,1,13,185,63,1,10,42,1,10,78,9,0.442,0.358,0.8,35,0.248,0.222,38,103,128,0.8,4,0.54,3.67,0.155,68,0.272,,,,,,,,,,,
2019,29,이대호,롯데,0.285,135,549,485,48,138,23,1,16,211,88,0,7,47,4,10,65,19,0.435,0.355,0.79,38,0.29,0,40,146,143,1.02,7,0.72,3.58,0.151,72.5,0.269,,,,,,,,,,,
2019,30,호잉,한화,0.284,124,525,476,74,135,26,2,18,219,73,1,5,38,5,5,90,6,0.46,0.34,0.8,40,0.262,0,46,89,167,0.53,9,0.42,3.54,0.176,75.4,0.268,,,,,,,,,,,
2019,31,황재균,KT,0.283,124,507,448,78,127,16,3,20,209,67,0,5,52,2,2,71,10,0.467,0.357,0.824,32,0.262,0,39,106,149,0.71,9,0.73,3.78,0.183,73.9,0.277,,,,,,,,,,,
2019,32,김재환,두산,0.283,136,574,495,76,140,20,5,15,215,91,0,11,63,5,5,113,7,0.434,0.362,0.796,34,0.3,0.25,40,111,142,0.78,11,0.56,3.57,0.152,82.7,0.271,,,,,,,,,,,
2019,33,김민혁,KT,0.281,127,521,466,68,131,10,1,0,143,32,5,5,32,0,13,61,8,0.307,0.341,0.648,36,0.257,0.4,11,163,116,1.41,6,0.52,3.6,0.026,52.8,0.23,,,,,,,,,,,
2019,34,박병호,키움,0.28,122,532,432,92,121,22,0,33,242,98,0,9,78,5,13,117,7,0.56,0.398,0.958,31,0.291,0.5,55,85,118,0.72,13,0.67,4.11,0.28,98.3,0.319,,,,,,,,,,,
